nation_A,nation_B,distance_AB
IE,GA,6234.913894798122
GA,IE,6234.913894798122
IE,BF,4558.996818032163
BF,IE,4558.996818032163
IE,SK,1974.3783055015963
SK,IE,1974.3783055015963
IE,MM,9407.161936796132
MM,IE,9407.161936796132
IE,IS,1466.3474392920984
IS,IE,1466.3474392920984
IE,GD,6545.663589067106
GD,IE,6545.663589067106
IE,FI,2272.4722506227904
FI,IE,2272.4722506227904
IE,HK,9987.250496616778
HK,IE,9987.250496616778
IE,US,6761.930104203738
US,IE,6761.930104203738
IE,MN,5941.333482779277
MN,IE,5941.333482779277
IE,FR,993.8655674971296
FR,IE,993.8655674971296
IE,BN,11708.002259067627
BN,IE,11708.002259067627
IE,BR,8212.869024497988
BR,IE,8212.869024497988
IE,SI,1800.7393081421628
SI,IE,1800.7393081421628
IE,CY,3780.206345255597
CY,IE,3780.206345255597
IE,BS,6523.053932645383
BS,IE,6523.053932645383
IE,BH,2097.828108140972
BH,IE,2097.828108140972
IE,CZ,1661.2449424927108
CZ,IE,1661.2449424927108
IE,QA,5750.807929323481
QA,IE,5750.807929323481
IE,UA,2735.525694533843
UA,IE,2735.525694533843
IE,HU,2053.89414467974
HU,IE,2053.89414467974
IE,GE,4028.133180878861
GE,IE,4028.133180878861
IE,PT,1426.4127345752208
PT,IE,1426.4127345752208
IE,VE,7197.372473531253
VE,IE,7197.372473531253
IE,SG,11329.92357923024
SG,IE,11329.92357923024
IE,RU,371.2359182867068
RU,IE,371.2359182867068
IE,DZ,2906.378490976619
DZ,IE,2906.378490976619
IE,AE,6046.793002130711
AE,IE,6046.793002130711
IE,CD,6867.467773331091
CD,IE,6867.467773331091
IE,MX,8206.285535023331
MX,IE,8206.285535023331
IE,KG,6037.104298558012
KG,IE,6037.104298558012
IE,AU,15605.985444838829
AU,IE,15605.985444838829
IE,UG,6790.016841444943
UG,IE,6790.016841444943
IE,SV,8189.272276985552
SV,IE,8189.272276985552
IE,BE,906.337799226046
BE,IE,906.337799226046
IE,IL,6066.739287824139
IL,IE,6066.739287824139
IE,MK,2546.441558699054
MK,IE,2546.441558699054
IE,IN,7837.588551535216
IN,IE,7837.588551535216
IE,MY,6761.930104203738
MY,IE,6761.930104203738
IE,TR,3601.3371241930377
TR,IE,3601.3371241930377
IE,AZ,4366.599462468137
AZ,IE,4366.599462468137
