race_id,stage_id,date,team_pcs_id,ranking,cutoffs_3,cutoffs_4,cutoffs_5
2,2,2022-03-20,1060.0,1.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
4,4,2022-04-15,1060.0,6.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
5,5,2022-03-19,1060.0,4.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
6,6,2022-01-30,1060.0,5,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
8,8,2022-03-27,1060.0,7,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
9,9,2022-04-01,1060.0,2,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
10,10,2022-03-01,1060.0,4,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
11,11,2022-04-12,1060.0,4,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
13,13,2022-04-16,1060.0,1.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
14,14,2022-01-27,1060.0,10,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
15,15,2022-01-26,1060.0,14,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
16,16,2022-01-30,1060.0,37.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
17,17,2022-01-29,1060.0,5.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
18,18,2022-01-28,1060.0,10.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
76,76,2022-04-13,1060.0,2.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
77,77,2022-02-27,1060.0,3,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
78,78,2022-02-26,1060.0,6,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
79,79,2022-04-02,1060.0,5.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
80,80,2022-03-17,1060.0,5.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
81,81,2022-02-27,1060.0,20,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
82,82,2022-03-16,1060.0,6.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
84,84,2022-03-02,1060.0,10.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
88,88,2022-04-10,1060.0,2,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
89,89,2022-03-30,1060.0,16.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
90,90,2022-03-27,1060.0,17,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
91,91,2022-04-20,1060.0,13,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
92,92,2022-03-19,1060.0,30,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
94,94,2022-02-26,1060.0,3.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
95,95,2022-04-17,1060.0,17.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
96,96,2022-04-03,1060.0,15.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
97,97,2022-03-05,1060.0,17.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
108,112,2022-04-05,1060.0,2,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.6]"
108,113,2022-04-05,1060.0,5,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.6]"
108,114,2022-04-05,1060.0,7,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.6]"
108,115,2022-04-05,1060.0,8.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.6]"
109,116,2022-02-02,1060.0,9,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
109,117,2022-02-02,1060.0,9,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
109,118,2022-02-02,1060.0,8,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
109,119,2022-02-02,1060.0,4,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
109,120,2022-02-02,1060.0,11,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
115,145,2022-02-18,1060.0,4,"[8.0, 17.0]","[6.0, 12.0, 20.5]","[5.0, 9.0, 15.0, 24.0]"
115,146,2022-02-18,1060.0,12,"[8.0, 17.0]","[6.0, 12.0, 20.5]","[5.0, 9.0, 15.0, 24.0]"
115,147,2022-02-18,1060.0,7,"[8.0, 17.0]","[6.0, 12.0, 20.5]","[5.0, 9.0, 15.0, 24.0]"
139,254,2022-02-10,1060.0,30,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
139,255,2022-02-10,1060.0,11,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
139,256,2022-02-10,1060.0,9,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
139,257,2022-02-10,1060.0,10.0,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
141,264,2022-02-02,1060.0,31,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
141,265,2022-02-02,1060.0,56.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
141,266,2022-02-02,1060.0,27.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
141,267,2022-02-02,1060.0,43,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
141,268,2022-02-02,1060.0,44,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
143,274,2022-02-16,1060.0,10,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
143,275,2022-02-16,1060.0,14,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
143,276,2022-02-16,1060.0,3,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
143,277,2022-02-16,1060.0,9,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
143,278,2022-02-16,1060.0,11,"[8.0, 17.0]","[6.0, 12.0, 21.0]","[5.0, 9.0, 15.0, 24.0]"
144,279,2022-04-04,1060.0,20.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
144,280,2022-04-04,1060.0,19,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
144,281,2022-04-04,1060.0,18.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
144,282,2022-04-04,1060.0,15,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
144,283,2022-04-04,1060.0,13,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
144,284,2022-04-04,1060.0,10.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,285,2022-03-06,1060.0,12,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,286,2022-03-06,1060.0,9,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,287,2022-03-06,1060.0,14,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,288,2022-03-06,1060.0,33.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,289,2022-03-06,1060.0,15.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,290,2022-03-06,1060.0,8,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,291,2022-03-06,1060.0,17.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
145,292,2022-03-06,1060.0,7.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
146,293,2022-03-07,1060.0,35,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
146,294,2022-03-07,1060.0,10,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
146,295,2022-03-07,1060.0,16,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
146,296,2022-03-07,1060.0,27,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
146,297,2022-03-07,1060.0,33,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
146,298,2022-03-07,1060.0,23,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
146,299,2022-03-07,1060.0,16,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
147,300,2022-02-20,1060.0,15,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
147,301,2022-02-20,1060.0,18,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
147,302,2022-02-20,1060.0,28,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
147,303,2022-02-20,1060.0,8,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
147,304,2022-02-20,1060.0,14,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
147,305,2022-02-20,1060.0,2,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
147,306,2022-02-20,1060.0,9,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
148,307,2022-03-21,1060.0,28,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
148,308,2022-03-21,1060.0,19.0,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
148,309,2022-03-21,1060.0,1,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
148,310,2022-03-21,1060.0,12,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
148,311,2022-03-21,1060.0,3,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
148,312,2022-03-21,1060.0,8,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
148,313,2022-03-21,1060.0,14,"[8.0, 17.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 24.0]"
278,443,2021-01-31,1060.0,1.0,"[7.0, 16.0]","[6.0, 11.0, 20.0]","[5.0, 9.0, 14.0, 23.0]"
280,445,2021-04-04,1060.0,3,"[7.0, 16.0]","[6.0, 11.0, 20.0]","[5.0, 9.0, 14.0, 23.0]"
281,446,2021-06-15,1060.0,1.0,"[8.0, 16.333]","[6.0, 12.0, 20.0]","[5.0, 9.0, 15.0, 23.0]"
342,507,2021-03-17,1060.0,19.0,"[7.0, 16.0]","[6.0, 11.0, 20.0]","[5.0, 9.0, 14.0, 23.0]"
344,509,2021-02-28,1060.0,6,"[7.0, 16.0]","[6.0, 11.0, 20.0]","[5.0, 9.0, 14.0, 23.0]"
345,510,2021-04-07,1060.0,9.0,"[7.0, 16.0]","[6.0, 12.0, 20.0]","[5.0, 9.0, 14.0, 23.0]"
346,511,2021-03-24,1060.0,20,"[7.333, 16.0]","[6.0, 11.0, 20.0]","[5.0, 9.0, 14.0, 23.0]"
377,634,2021-09-14,1060.0,4,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
377,635,2021-09-14,1060.0,10,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
377,636,2021-09-14,1060.0,2,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
377,637,2021-09-14,1060.0,16,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
377,638,2021-09-14,1060.0,5,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
378,639,2021-07-20,1060.0,17,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
378,640,2021-07-20,1060.0,6,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
378,641,2021-07-20,1060.0,2,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
378,642,2021-07-20,1060.0,17,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
378,643,2021-07-20,1060.0,11.0,"[8.0, 17.0]","[6.0, 12.0, 20.25]","[5.0, 9.0, 15.0, 24.0]"
899,1181,2020-09-27,1060.0,33.0,"[7.0, 16.0]","[6.0, 11.0, 20.0]","[5.0, 9.0, 14.0, 22.0]"
